,OBJECTID,POPULATION,LANG_CODE,LON_X,LAT_Y
28316,28317,700,2,70.8123,34.1904
33827,33828,997,1,69.9982,37.1987
42307,42308,1160,1,68.5639,35.5945
4166,4167,1258,2,62.0671,32.3361
29723,29724,539,2,71.3858,35.0763
8062,8063,1204,2,62.1645,33.1564
23962,23963,734,2,69.851,33.7931
40950,40951,820,1,69.2953,35.1569
30641,30642,549,3,68.8159,37.1967
29313,29314,2991,2,71.0061,34.7373
11101,11102,980,1,65.4017,33.6713
13262,13263,787,1,66.4461,33.8863
784,785,753,1,67.68954000000001,33.19706
6375,6376,525,1,62.6688,34.2302
28169,28170,987,2,70.4545,34.1644
39950,39951,785,1,69.1546,36.7094
10292,10293,1653,1,64.4877,35.9128
29275,29276,8746,2,70.9072,34.9794
42385,42386,551,1,68.8011,35.5945
10624,10625,4456,3,64.5823,35.881
16784,16785,660,2,68.334,33.616
2382,2383,2059,2,64.0689,31.4171
39946,39947,944,2,69.0913,36.6731
29962,29963,980,2,68.78225,36.70367
40608,40609,933,1,70.8418,36.8294
44018,44019,1091,1,68.5434,36.09295
13664,13665,1014,2,63.7135,35.7837
23186,23187,520,2,69.6583,33.1758
27635,27636,821,2,70.286,34.4203
38636,38637,783,2,68.84738,34.37007
26404,26405,808,3,67.8253,36.4881
38816,38817,956,2,68.6165,33.9737
25285,25286,1087,6,70.0646,34.9843
38818,38819,1029,2,68.6786,34.0824
3096,3097,1024,2,61.2953,34.5755
2850,2851,805,2,64.7778,31.9771
37691,37692,1155,3,69.2678,36.3081
20344,20345,630,3,64.62899999999999,35.5675
399,400,575,1,67.50497,33.02977
30212,30213,1025,3,69.5582,37.0265
36937,36938,565,1,69.0386,34.6736
28669,28670,1401,2,70.2624,34.7122
1323,1324,589,2,68.5186,32.9243
22545,22546,701,2,69.1148,32.6977
28075,28076,3801,2,70.5741,34.1375
27621,27622,1042,2,70.3657,34.4684
1361,1362,543,1,68.3845,33.4488
5111,5112,963,1,62.1163,34.5585
27933,27934,576,2,70.5958,34.4262
789,790,665,1,67.56321,32.98668
7769,7770,1271,2,65.47969,31.5849
19895,19896,627,2,68.249,32.6602
44776,44777,1855,3,64.8511,36.0528
5178,5179,656,2,64.2968,31.3789
23395,23396,527,2,69.9778,33.3351
8495,8496,813,2,66.57,31.1064
42672,42673,861,1,69.6061,35.623000000000005
30234,30235,1032,3,69.3588,37.001
37684,37685,562,1,69.654,35.1009
28641,28642,573,1,70.2167,34.5867
22983,22984,6304,2,69.5499,33.3113
38893,38894,852,2,68.438,33.9085
42619,42620,596,1,69.2773,35.6131
34929,34930,1000,3,70.4321,37.0273
33211,33212,891,3,69.9169,37.2671
41281,41282,719,1,69.9094,36.3667
2310,2311,812,2,64.1499,30.9164
44773,44774,1147,3,64.8641,36.0506
35802,35803,537,1,70.2553,37.89
36251,36252,1008,1,68.8151,35.0281
20659,20660,553,1,68.437,33.5404
24554,24555,782,2,69.0129,33.4965
36997,36998,578,1,70.3733,36.7729
7153,7154,1058,2,63.31029,35.56239
30522,30523,552,7,70.1485,35.1444
3604,3605,788,1,67.5273,32.9948
1600,1601,566,2,62.1101,32.52
44882,44883,893,2,69.4726,33.4251
4185,4186,933,1,62.1373,32.414
29812,29813,1326,2,71.5514,35.1817
19790,19791,960,2,68.6722,32.9857
39379,39380,643,2,69.22399999999999,34.3952
10641,10642,639,3,64.6663,35.9739
25084,25085,663,6,70.6093,34.7151
44720,44721,606,3,64.6852,36.1107
9971,9972,9900,2,66.9039,32.1059
19838,19839,1851,2,68.5444,32.818000000000005
44749,44750,718,3,64.8678,36.1035
39921,39922,631,3,69.4293,36.7361
21646,21647,1141,3,66.5254,35.985
37423,37424,1027,1,70.1545,36.7311
